"filename", "language", "HTML", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"e:\code\socialQ\v2\css\headerFooterStylev2.css", "CSS", 0, 186, 0, 0, 5, 41, 232
"e:\code\socialQ\v2\css\home.css", "CSS", 0, 98, 0, 0, 6, 18, 122
"e:\code\socialQ\v2\css\homeStylev2.css", "CSS", 0, 211, 0, 0, 3, 33, 247
"e:\code\socialQ\v2\css\profile-settings-css.css", "CSS", 0, 87, 0, 0, 0, 11, 98
"e:\code\socialQ\v2\css\profile.css", "CSS", 0, 141, 0, 0, 5, 25, 171
"e:\code\socialQ\v2\css\register.css", "CSS", 0, 164, 0, 0, 12, 36, 212
"e:\code\socialQ\v2\css\styles.css", "CSS", 0, 104, 0, 0, 5, 17, 126
"e:\code\socialQ\v2\html\about.html", "HTML", 11, 0, 0, 0, 0, 6, 17
"e:\code\socialQ\v2\html\contact.html", "HTML", 12, 0, 0, 0, 0, 4, 16
"e:\code\socialQ\v2\html\dontclick.html", "HTML", 12, 0, 0, 0, 0, 4, 16
"e:\code\socialQ\v2\html\faq.html", "HTML", 12, 0, 0, 0, 0, 6, 18
"e:\code\socialQ\v2\html\homev2.html", "HTML", 110, 0, 0, 0, 7, 12, 129
"e:\code\socialQ\v2\html\index.html", "HTML", 50, 0, 0, 0, 2, 6, 58
"e:\code\socialQ\v2\html\loginv2.html", "HTML", 45, 0, 0, 0, 3, 9, 57
"e:\code\socialQ\v2\html\profile_settings.html", "HTML", 99, 0, 0, 0, 8, 12, 119
"e:\code\socialQ\v2\html\profilev2.html", "HTML", 36, 0, 0, 0, 5, 7, 48
"e:\code\socialQ\v2\html\search.html", "HTML", 124, 0, 0, 0, 1, 2, 127
"e:\code\socialQ\v2\html\searchv2.html", "HTML", 93, 0, 0, 0, 1, 5, 99
"e:\code\socialQ\v2\html\signup.html", "HTML", 254, 0, 0, 0, 2, 19, 275
"e:\code\socialQ\v2\html\testing_links.html", "HTML", 12, 0, 0, 0, 0, 2, 14
"e:\code\socialQ\v2\index.html", "HTML", 227, 0, 0, 0, 2, 13, 242
"e:\code\socialQ\v2\js\header-footer.js", "JavaScript", 0, 0, 103, 0, 14, 25, 142
"e:\code\socialQ\v2\js\login.js", "JavaScript", 0, 0, 86, 0, 17, 24, 127
"e:\code\socialQ\v2\js\node.js", "JavaScript", 0, 0, 325, 0, 4, 11, 340
"e:\code\socialQ\v2\js\profile-settings.js", "JavaScript", 0, 0, 153, 0, 32, 34, 219
"e:\code\socialQ\v2\js\register.js", "JavaScript", 0, 0, 194, 0, 33, 26, 253
"e:\code\socialQ\v2\js\searchengine.js", "JavaScript", 0, 0, 606, 0, 79, 118, 803
"e:\code\socialQ\v2\js\test.js", "JavaScript", 0, 0, 641, 0, 80, 128, 849
"e:\code\socialQ\v2\json\companies.json", "JSON", 0, 0, 0, 209, 0, 1, 210
"e:\code\socialQ\v2\json\users.json", "JSON", 0, 0, 0, 182, 0, 1, 183
"Total", "-", 1097, 991, 2108, 391, 326, 656, 5569
